unu,一
rev,梦
rifugx,难
rifuz,拒
ripar,修
sabl,沙
salajr,薪
sald,额
sap,皂
sekret,秘
sekund,秒
serpent,蛇
simi,猴
solid,固
sonor,响
sxtrumpo,袜
suk,汁
sxuld,债
sxultr,肩
sup,汤
tapisx,毯
tendar,营
tern,嚏
test,测
testud,龟
tigr,虎
tomat,柿
tomb,墓
tondr,雷
trejn,练
trem,震
trik,织
tromp,骗
tur,塔
tus,咳
urs,熊
val,谷
valiz,箱
valut,币
vegetar,素
ventr,肚
viol,紫
vjetnam,越南
vost,尾
zip,链
