世界语单词##,候选汉字##
popular,流行
relativ,相
sin/don##,献
solidar,团结
vegetar,素
familiar,亲
grandioz,宏
kolektiv,集
sin/gard##,专
kompetent,专
universal,普
kvit,清
miop,近
punc,红
ranc,败
cxast,贞
ekstr,额
masiv,巨
antikv,古
arogant,傲
konform,一致
trivial,琐
elokvent,雄辩
kriminal,犯罪
predikat,述
akut,锐
dual,双
hirt,毛
kalv,秃
banal,平凡
cinik,讽
gotik,哥特式
inert,惰
obtuz,钝
okult,秘
pasiv,被
rigor,严
stoik,坚
analog,仿
anonim,匿
arkaik,古
diafan,透明
efemer,瞬
erotik,色
fiktiv,虚
formal,正
frivol,轻
intens,烈
invers,逆
konciz,简
konkav,凹
mistik,神秘
neuxtr,中
vulgar,俗
akcesor,配
apokrif,伪
arhxaik,古
burlesk,滑稽
decimal,十
diskret,谨慎
fanatik,狂
grotesk,怪
konkret,具
kontinu,续
liberal,自由
monoton,单调
negativ,否
nominal,名
pozitiv,积极
radikal,根
skeptik,怀疑
solvent,偿
abstrakt,抽象
auxtonom,自治
eventual,可能
inkluziv,包括
neuxtral,中
objektiv,客观
ortodoks,正
primitiv,原始
provizor,代
racional,理
romantik,浪漫
sinoptik,气象
spontane,自发
auxtentik,真
definitiv,定
ekskluziv,独家
korelativ,相关
respektiv,各
subjektiv,主观
transitiv,变
spekulativ,推测
impertinent,无礼
konservativ,保守
sentimental,情
dek,
mil,
sep,
ses,
tri,
unu,
cent,
kvar,
kvin,
naux,
aux,
nek,无
sed,
kvankam,
plus,增
minus,减
cxe,处
kun,共
per,凭
pri,关
pro,因
sen,无
sub,下
sur,上
tra,通
apud,旁
krom,外
laux,依
post,后
inter,间
super,超
trans,隔
antaux,前
ekster,外
preter,经过
kontraux,反
malgraux,
gxi,
ili,们
kio,何o
oni,人
sxi,她
tio,
cxio,全o
nenio,无o
tio cxi##,这
dis,散
mal,非
cxef,首
eks,前
mis,误
pra,原
dev,必
dir,说
don,赠
est,是
far,做
fin,结束
hav,有
kon,识
leg,阅
lev,举
met,置
mov,动
pet,求
pov,能
rid,笑
sci,知
sid,坐
ten,持
ven,来
vid,见
viv,生
vol,愿
gxoj,快
help,帮
kred,信
lern,学
logx,住
mort,死
okaz,发生
port,运
pren,拿
sekv,跟
send,送
star,立
dezir,希望
labor,工
milit,战
montr,显示
parol,说
ricev,接
skrib,书
sxajn,显
vetur,行
demand,要求
komenc,开始
kompren,理解
respond,答
bat,击
fal,跌
kri,喊
kur,跑
las,放
lum,光
mir,奇
pag,付
pas,通过
reg,治
son,声
tim,恐
tir,拉
auxd,听
brul,燃
dank,谢
dorm,睡
ferm,关闭
flug,飞
halt,停
jxet,投
kant,歌
kost,成本
mank,缺
nask,生
okup,占
pens,思
perd,丢
prem,压
prov,试
sent,感
turn,转
acxet,买
atend,等
bezon,需
kresk,成
mangx,吃
memor,记
sercx,搜索
trink,喝
konsil,建议
permes,允
postul,要求
rakont,故事
rigard,看
rimark,注意
sxangx,变
vojagx,旅
konstru,建
prezent,展示
renkont,遇
bru,噪
dub,疑
lav,洗
lud,玩
pen,勤
vek,醒
vok,召
aper,露
bril,光
erar,误
fest,庆
frap,击
gajn,赢
kapt,捕
kasx,藏
kovr,覆
kuir,烹
kusx,卧
pasx,走
plor,哭
romp,破
salt,跳
serv,服务
tusx,触
vend,售
zorg,照顾
batal,战
elekt,选择
esper,希望
koler,怒
mezur,量
opini,观点
ordon,命令
plend,怨
ripoz,休
salut,问
sufer,痛
akcept,接受
forges,忘
kalkul,算
komerc,贸
konduk,指挥
pardon,赦
silent,静
trancx,切
konsent,同意
auxskult,聆
ban,浴
flu,流
kre,创
mok,嘲
amuz,乐
cxes,止
efik,效
gard,守
jugx,裁判
klin,斜
pend,悬
pusx,按
spir,气
stud,学
sxat,喜
tond,剪
traf,中
ating,达
decid,决
estim,尊敬
invit,请
kurac,治
marsx,行
placx,喜
ripet,重
sxlos,锁
sxtel,盗
vizit,参
arangx,整
ekzist,存在
instru,教
intenc,意
kompat,同情
prefer,偏好
prepar,准备
promen,散步
promes,诺
sukces,成功
konserv,保存
bol,玻璃
kis,吻
obe,服
paf,射
pel,驱
pik,刺
pun,罚
sav,救
tus,咳
akir,获
apog,支持
atak,攻
bala,扫
blov,风
cxas,猎
danc,舞
eduk,教育
evit,避
fleg,护
glit,滑
gvid,导
gxen,阻
hejt,热
hont,羞
imag,想
imit,仿
komb,梳
mend,订
miks,混
nagx,泳
plug,耕
pres,印
soif,渴
spez,支
sxir,撕
trem,颤
trov,发现
venk,胜利
visx,清
volv,卷
anonc,告
aprob,批准
avert,警
merit,功绩
minac,威胁
pentr,画
posed,持
pregx,祈
rifuz,拒
rilat,关系
ripar,修
skrap,刮
sxerc,笑
tromp,欺
defend,防
desegn,画
esting,灭
inform,通
kompar,比
kondut,行为
konfes,忏
konsci,意识
kultur,文化
mensog,谎
rezult,结果
rikolt,收获
strecx,张
sxovel,铲
akompan,伴
aparten,属
bedauxr,悔
konsist,构
organiz,组织
progres,发展
respekt,尊敬
riprocx,责
diferenc,差
rekomend,推荐
korespond,通
enu,厌
fid,信
gxu,乐
hak,砍
log,吸
pek,罪
pes,秤
raz,刮
dron,溺
fajf,哨
fand,熔
farm,农
fart,健
frot,擦
gxem,呻
krev,求
kudr,缝
mord,咬
muel,磨
nutr,营养
odor,臭
rajd,骑
solv,解
taks,评
teks,织
tent,引
urgx,急
babil,聊
detru,毁
difin,定义
distr,散
diven,洞
divid,分
etend,延
evolu,发展
forgx,锻
frand,尝
grimp,攀
hezit,犹
krocx,钩
lauxd,赞
mason,砌
ofert,提供
ornam,装饰
petol,调皮
songx,梦
stern,展
supoz,假设
sxirm,保
sxpar,节
sxtop,堵
sxuld,债
sxvel,胀
toler,容
versx,灌
aspekt,观
dauxr/ig##,持
difekt,损
diskut,讨论
domagx,悔
ekscit,激
ekzerc,练
esplor,探
esprim,表达
konsol,安慰
murmur,低
prezid,主
signif,意
skulpt,雕
traduk,翻译
ekskurs,旅
ekzamen,考试
komunik,沟通
koncern,涉
konstat,确认
protekt,保
protest,抗议
renvers,翻
surpriz,惊
konsider,考虑
persekut,迫害
reprezent,代表
bak,烤
ben,福
boj,吠
bor,孔
ced,让
cit,引
lek,尝
rab,抢
rav,星
rem,船
rev,梦
seg,切
sku,摇
ted,厌
teg,盖
abon,订
dung,雇
envi,羡
flar,嗅
fond,创
frit,炸
friz,卷
gest,手势
glad,烫
glut,吞
jxur,誓
kned,捏
macx,磨
melk,挤
migr,迁
munt,组
ofer,献
pent,后悔
pruv,证
pump,泵
putr,腐
ramp,爬
risk,冒
ronk,鼾
rost,烤
sven,昏
sxov,推
sxut,撒
tajl,裁
tord,扭
tren,牵
vari,变
velk,枯
adici,增
admir,赞
admon,警告
adopt,收养
akcel,加
atest,证
cxerp,取
degel,融
deleg,派
fleks,弯
flirt,飘
hered,继
influ,影响
kares,抚
medit,冥想
nauxz,恶
osced,哈
pasxt,牧
pauxz,停
pincx,捏
plekt,编织
regal,宴
ribel,反
sopir,思
sorcx,魔
strik,罢
sufok,窒
sving,挥
sxarg,装
sxmir,涂
trakt,处理
tremp,浸
afrank,贴
asekur,保险
balanc,摇
barakt,挣扎
dedicx,献
deklar,宣
destin,定
disput,争
escept,排除
festen,宴
frakas,破
gratul,祝
ilustr,画
import,进
insist,坚
instal,安装
instig,煽
insult,侮辱
komand,指挥
komisi,委
konfid,信
konfit,蜜饯
konfuz,混
konkur,竞
kritik,批评
observ,观
penetr,穿
perfid,背叛
proced,程序
raport,报告
reklam,广告
rezign,放弃
rezist,抵抗
rifugx,避
brak/um##,抱
civiliz,文明
cxagren,怒
de/pend##,依
disting,辨
eksplod,爆
garanti,保
komplez,善
kondamn,定罪
konfirm,确认
konjekt,猜测
konklud,结论
kontrol,控
konvink,说服
operaci,手术
plen/um##,满
pretend,企图
suspekt,疑
turment,折磨
distribu,分
fanfaron,夸
kontrakt,合同
mastr/um##,管
prokrast,延
administr,管理
el/turn/igx##,闪
entrepren,创办
dec,等
juk,痒
lul,摇篮
vad,走
vag,漂
vet,赌
vom,呕
zum,嗡
ador,崇拜
agit,动
akuz,控
alud,暗示
bapt,洗
bind,绑
blek,哭
bred,养
bucx,杀
cxif,皱
dikt,记录
dres,训练
ekip,装备
est/ig##,引
fast,斋
flat,阿
flik,补
fugx,逃
fusx,败
garn,固
grat,抓
hav/ig##,有
izol,隔
jung,绑
lukt,斗
mugx,哭
opon,反
palp,摸
pekl,腌
pere,毁
pli/ig##,增
sark,除
sekc,割
sorb,吸
spit,宅
sucx,吸
svat,媒
tajp,打
tern,嚏
tikl,挠
tint,铃
trik,织
trud,强迫
vart,护
adapt,适
aplik,应
asert,断
asist,助
balot,投票
cxe/est##,箱
delir,狂
depon,存
deput,代表
enket,调查
eskap,逃
falcx,割
flagr,飘扬
for/est##,缺
grinc,摩擦
ignor,忽
impet,冲
incit,激
indik,指
insid,陷
inund,洪
kracx,呕
liver,供
menci,述
modif,改
ofend,侮辱
rezon,理
rivel,揭
start,开始
susur,哗
sxpin,织
trejn,训练
vengx,复仇
abstin,节
aflikt,痛苦
altern,交替
balbut,结
cirkul,循环
dejxor,守
denunc,举报
de/ten##,持
dev/ont/ig##,诺
digest,消化
dispon,配置
dorlot,宠
eksped,快递
el/don##,发
establ,建
flustr,悄
grimac,皱
grumbl,抱怨
implik,纠
indign,愤
indulg,宽
infekt,感
injekt,注
inspir,启发
invent,发
klopod,努
kolizi,撞
kombin,组合
kompon,组成
konsum,消费
korekt,纠正
lubrik,润滑
manovr,操
plongx,跳
preleg,讲
propon,建议
provok,挑衅
recenz,评论
redakt,编辑
redukt,减
revizi,审查
sxpruc,喷
aplauxd,掌
blasfem,亵渎
bon/vol##,愿
brokant,古董
eksport,出
ekzekut,执行
gust/um##,味
iniciat,发起
kalumni,诽谤
kompens,补
komplik,复杂
kontest,辩
manipul,操作
neglekt,忽
persist,坚
prononc,发
prosper,繁
reflekt,反射
re/form##,改
subtrah,减
sxancel,晃
televid,电视
determin,决定
ekspluat,剥削
koncentr,集
mistifik,迷惑
preskrib,处方
revoluci,革命
riverenc,敬
interpret,翻译
kompromit,泄露
multiplik,乘
propagand,宣传
konversaci,交谈
interpelaci,询
erp,耕
kov,孵
lut,焊
pep,鸣
tan,鞣
agac,甜
brod,绣
brog,灌
cxiz,雕
edif,建
fajl,磨
krak,爆
kroz,航
pist,磨
rasp,磨
rast,探
rigl,锁
rukt,呃
sibl,嘶
skiz,草图
sput,吐
steb,缝
stuk,涂
sxim,霉
torn,旋
trot,跑
urin,尿
varb,募
adult,成
afekt,假装
akusx,生
arest,逮捕
asign,分
atenc,害
drasx,碾
drink,喝
ekzil,放逐
filtr,滤
infuz,注
kribr,筛
parad,行
rabot,刨
rafin,炼
satur,饱
siegx,围
skerm,剑
strab,斜
sxmac,响
uzurp,篡
veget,植物
border,边
cxikan,挑剔
degrad,降
dibocx,沉
distil,蒸馏
drapir,幕
gargar,漱
gravur,雕刻
guvern,统治
ilumin,照
inokul,接种
intrig,阴谋
jxongl,魔法
kartav,哑
kontuz,伤
likvid,清算
makler,经
plauxd,溅
predik,宣
rembur,填
ventol,通
decxifr,解
degener,退化
diskont,折扣
ferment,发酵
kalfatr,机
kolport,传
kompost,堆肥
konspir,谋
konvert,改
paraliz,瘫
proklam,宣
singult,嗝
cxarpent,木匠
hipokrit,伪
intermit,间
konstern,惊
marcxand,讲
kapitulac,投降
kauxteriz,蚀
komentari,评论
koment,评论
poz,姿
vak,空
boks,拳
gxir,转
kirl,搅
klak,点击
kluk,鸡
knar,响
murd,杀
pled,辩
sond,探
tatu,刺青
abdik,退
abort,堕胎
agoni,痛
aklam,欢
amput,截肢
aneks,并
aspir,追求
deriv,衍
feder,联
impon,强
invad,侵
kauxr,蹲
klacx,骂
klisx,印
kotiz,缴
marin,醃
miaux,喵
modul,调
refut,驳
rikan,讽
streb,努
svarm,群
sxveb,漂
absorb,吸收
akapar,买
analiz,分析
asimil,同化
asperg,灌
atribu,赋予
auxgur,预测
bojkot,抵制
cenzur,审查
dedukt,推
deklam,朗
dekolt,开
indukt,归纳
kompil,编
konced,许
konker,征
korupt,腐败
kverel,争
lament,悲
narkot,麻醉
stimul,刺激
strigl,梳
sxrump,萎
amortiz,摊销
anticip,预
apelaci,上诉
bankrot,破产
bombard,炸
emancip,解
inspekt,检查
katekiz,教理
koincid,巧
konfisk,没收
konsekr,祭祀
konsult,咨
legitim,证
mobiliz,动员
pilgrim,朝圣
improviz,即兴
inauxgur,开
karambol,撞
katehxiz,教堂
klasifik,分类
kontribu,贡献
litograf,石版
prostitu,娼
centraliz,中心
stenograf,速
ekskomunik,除
karakteriz,特
ajx,物
ant,
ebl,能
igx,成
ind,价
int,
ism,义
ist,家
obl,倍
ont,
estr,长
acx,劣
cxj##,少
end,必
ing,壳
ajn,
cxi##,近
ecx##,超
for,离
iam,i时
iom,i量
jam,
jen,
jes,是
kie,何e
mem,自
nun,今
nur,仅
pli,于
plu,增
tie,
tre,极
tro,过
tuj,即
cxie,全e
jxus,当下
kiam,何am
plej,最
tial,ti因
tiam,ti时
tiel,ti方
tiom,ti量
cxiam,全时
nenie,无e
ankaux,再
neniam,无am
baldaux,即
hieraux,昨
hodiaux,今天
morgaux,明天
tie cxi##,处
almenaux,至少
ankoraux,未
preskaux,几
tiel cxi##,如
oft,常
ial,i因
iel,i方
volont,愿
des,增
neniom,无量
cxial,全因
cxiom,全量
ia/foj##,偶尔
nenial,无因
neniel,无方
parker,留心
foj,次
hom,人
jar,年
kap,头
kor,心
lok,位置
man,手
nom,名
tag,日
ter,土
vir,男
voj,路
afer,事
amik,朋
form,型
kamp,田
land,土
mond,世界
naci,民
patr,父
temp,时间
vort,词
flank,侧
infan,童
patr/in##,母
cxambr,室
sinjor,先生
akv,水
arb,树
art,艺术
dom,宅
edz,夫
fil,子
har,毛
hor,时
lit,床
mar,海
mon,钱
mur,墙
pac,和
pec,片
sun,日
urb,城
bild,画
bird,鸟
busx,嘴
frat,兄弟
hejm,家
knab,童
kort,庭
libr,书
mont,山
okul,眼
part,部分
pied,脚
pord,门
rajt,权
tabl,桌
vent,风
vest,背心
fingr,指
frukt,果
kolor,色
leter,信
lingv,语
maten,晨
popol,民
punkt,点
rimed,方法
valor,价
cxeval,马
famili,家
frauxl,光棍
person,人
semajn,周
vesper,夜
vizagx,脸
fenestr,窗
aer,气
agx,岁
cel,目标
fer,铁
ide,观
kat,猫
kol,颈
mez,中
naz,谜
nub,云
ord,序
pan,饼
roz,玫瑰
best,动
bord,岸
brak,臂
dent,牙
fajr,火
fisx,鱼
flor,花
glas,杯
hund,狗
korp,身
lakt,乳
lign,木
lini,线
mark,标
negx,雪
nokt,夜
onkl,叔
orel,耳
plum,笔
pluv,雨
rond,圆
sang,血
segx,性
spec,类
stat,状
supr,顶
sxip,船
vitr,玻
angul,角
dauxr,持
dolor,痛
gazet,报纸
kauxz,因
kutim,习惯
minut,分
monat,月
natur,自
nombr,号
paper,纸
plank,板
river,河
somer,夏
staci,站
strat,道路
suker,糖
sxton,石
vagon,车厢
veter,风
vintr,冬
auxtun,秋
cxapel,帽
direkt,指
kolekt,集
moment,瞬
plezur,乐
vilagx,村
ekzempl,例
gxarden,园
histori,史
printemp,春
bov,牛
ink,墨
kaf,咖
kok,鸡
kuk,糕
kuz,亲
lag,湖
lim,界
lun,月
maj,五
pak,包
sak,包
sum,总
tru,洞
vin,酒
anim,灵魂
azen,驴
benk,凳
dors,背
foli,叶
font,源
fund,基
genu,膝
gren,谷
grup,群
herb,草
juli,七月
juni,六
kart,卡
klas,班
korb,篮
kruc,十
krur,腿
lang,舌
legx,法
lund,一
mard,火
mart,春
ofic,职
ombr,影
pagx,页
pork,猪
posx,袋
radi,射
regx,王
senc,心
stel,星
sxaf,羊
verk,作品
vocx,声
adres,地址
april,四月
brust,胸
buter,黄油
donac,赠
glaci,冰
kuler,勺
mastr,老板
muzik,音乐
numer,数
posxt,邮
prunt,借
sabat,安息日
sxtat,国
sxtup,阶
teler,盘
terur,恐
vapor,汽
insekt,虫
januar,一月
jxauxd,木
kovert,信封
krajon,铅笔
manier,方式
objekt,物
oktobr,十月
plafon,顶
region,区域
religi,宗教
spirit,灵魂
argxent,银
dangxer,险
decembr,十二月
dimancx,日
februar,二月
horlogx,钟
merkred,水
novembr,十一月
produkt,产品
vendred,周五
septembr,九月
bar,障
bek,嘴
fak,科
fum,烟
gas,气
gut,滴
jak,夹克
kel,地下室
kuv,桶
lip,唇
nep,孙
nev,亲
not,记录
ole,油
ond,波
ost,骨
par,对
pom,苹果
pot,壶
rad,轮
ret,网
sal,盐
sap,皂
sem,种
sud,南
sup,汤
sxu,靴
tas,碗
tol,织
tuk,布
ung,爪
val,谷
vic,村
barb,须
bros,刷
fakt,事
flag,旗
fork,叉
forn,炉
gast,客
gras,脂
kapr,羊
karb,炭
kest,箱
korn,角
krim,罪
lamp,灯
mebl,家
mien,面
musx,虫
nord,北
past,食
pilk,球
pint,尖
polv,尘
pont,桥
prez,价
rand,边
regn,国
seri,系
sign,标
sort,命
spic,料
vang,颊
vost,尾
vund,伤
botel,瓶
buton,钮
cifer,数字
faden,线
frunt,额
hauxt,皮
honor,荣誉
insul,岛
kajer,本
kamen,炉
legom,蔬
liter,字
metal,金属
pingl,乒
polic,警
polur,污染
premi,奖
regul,规
sezon,季
sxanc,机遇
sxnur,绳
tabul,桌
viand,肉
baston,杖
brancx,枝
cxemiz,衬
doktor,医
kravat,领带
lecion,课
masxin,机
milion,万
najbar,邻
parenc,亲
publik,公
scienc,科
sekret,秘
skatol,箱
soldat,兵
spegul,镜
sxargx,货
sxrank,柜
tualet,厕
cxapitr,章
fromagx,酪
kondicx,条件
praktik,实践
serpent,蛇
sxtrump,靴
tegment,屋
telefon,电话
industri,工
kilogram,克
okcident,西
pantalon,裤
abi,树
agl,鹰
ber,果
bot,靴
bul,球
dat,日
glu,粘
jup,裙
kav,洞
lan,毛
led,革
mod,潮
mor,风俗
pin,松
pip,管
piz,豆
put,井
rel,轨
riz,米
rok,岩
suk,汁
tem,题
tub,管
tur,塔
vat,岩
vaz,瓶
zon,带
arme,军
bank,银
bien,土地
bier,啤
bret,架
brik,砖
cikl,周期
cxap,帽
drat,线
epok,纪元
fask,捆
feri,假
film,影
flam,火
flos,筏
fojn,草
fulm,雷
glob,球
grad,级
gust,味
kadr,框
krem,霜
kurb,弯
kurs,课
larm,泪
leon,狮
litr,升
luks,奢
meti,职业
metr,尺
najl,钉
nest,巢
pajl,草
plac,场
plad,盘
plan,计划
poet,诗
pugn,拳
ring,环
sabl,沙
scen,舞台
skal,刻度
soci,社
spac,空间
stal,厩
task,任务
tomb,墓
verm,虫
vers,诗
viol,花
agord,和
balon,球
bilet,票
burgx,城
centr,中
etagx,楼
farun,面
figur,形
frost,霜
gorgx,喉
grund,土
haven,港
hotel,酒店
humor,幽默
karot,萝卜
katar,感冒
kling,刀
koton,棉
kvant,量
lepor,兔
makul,斑
manik,袖
membr,成员
mizer,悲
nebul,雾
organ,器官
parti,派
pastr,祭司
radik,根
serur,锁
solid,固
sonor,声
strek,线
sxvit,汗
tabak,烟
tabel,桌
titol,标题
tondr,雷
valiz,箱
ventr,腹
alumet,火柴
aparat,设备
brasik,菜
citron,柠
cxifon,破烂
dekliv,坡
dezert,沙漠
elektr,电
energi,能
fiancx,未婚夫
hirund,燕
kelner,侍
kvalit,质
majstr,大师
mantel,外套
martel,锤
matrac,垫
menton,下巴
orangx,橙
origin,源
potenc,权力
salajr,薪
sekund,秒
societ,社会
stomak,胃
sxultr,肩
tapisx,毯
tritik,麦
aventur,冒险
cigared,烟
distanc,距
embaras,窘
kamarad,朋友
kaserol,锅
komitat,委
kongres,会
kvadrat,正方
magazen,商店
pasport,护照
politik,政
registr,登
ter/pom##,土
akcident,事故
auxtobus,巴士
auxtomat,自动
cxokolad,巧克力
direktor,经理
instinkt,本能
karakter,性
kauxcxuk,橡
material,材
standard,标
telegraf,电
restoraci,餐
ark,弧
baz,基
beb,婴
bub,顽
bud,葡
fel,毛
hok,勾
huf,蹄
jur,法
kas,库
kin,影
kom,食
kot,土
lup,狼
mam,乳
map,图
min,矿
mus,鼠
net,净
nod,结
orf,孤
ort,角
pat,锅
pil,电
pir,果
pup,偶
rat,鼠
rip,折
rob,机
tip,范
ton,音
urs,熊
var,品
vel,帆
vit,藤
abel,蜜蜂
auxt,车
bluz,衬衫
boat,船
brov,眉
cerb,脑
cxek,支
cxen,链
disk,盘
dram,剧
drap,布
dusx,淋
ezok,鱼
farb,颜
febr,热
fend,裂
foir,市场
fost,基
frag,莓
fulg,闪电
funt,磅
gant,手套
geni,才
glor,荣
golf,湾
hajl,雹
hero,英
kemi,化
kord,绳
kork,塞
krad,网
kran,龙头
kret,石灰
kriz,危
kron,冠
kugl,弹
kupr,铜
lift,升
list,目
mast,桅
nadl,针
nerv,神
oliv,橄榄
park,园
pasi,爱
pask,节
pelt,皮
plet,盘
poem,诗
proz,散
pulm,肺
pulv,粉
rang,位
revu,刊
ritm,节奏
seks,性
sens,感
silk,丝
simi,猴
sojl,屋
stil,风格
stri,条
sxel,壳
tend,篷
verb,动
verg,枝
vert,顶
vidv,鳏
virt,德
vual,纱
vulp,狐
afisx,海报
album,册
almoz,施
arane,蜘
asoci,协会
avenu,大道
aviad/il##,飞
barel,桶
bazar,市场
betul,桦
brems,刹
butik,店
detal,细
diabl,魔
emoci,情
enigm,谜
esenc,本质
fauxk,口
fizik,物理
framb,莓
grajn,谷
hxemi,化
ideal,理
juvel,宝
katen,锁链
kitel,制服
krucx,壶
krust,壳
kubut,肘
kukol,鸟
kverk,橡
lamen,片
marcx,沼
metod,方法
model,模型
motor,发动机
nivel,水平
palac,宫
panj,母
penik,笔
piocx,锄
plumb,铅
poezi,诗
salon,厅
sauxc,酱
sitel,桶
sklav,奴隷
sport,运动
stamp,印
stang,杆
stump,桩
sxtal,钢
sxtof,反
teatr,剧
teori,理论
teren,土地
trajn,火车
trajt,特征
trunk,干
venen,毒
vesxt,衣
abomen,厌
angxel,天使
animal,动物
apetit,食欲
apotek,药
benzin,汽油
bicikl,车
bombon,糖
cement,水泥
cxeriz,樱桃
desert,沙漠
fabrik,工厂
financ,财政
funebr,丧
funkci,功能
garagx,库
imperi,帝
impost,税
impres,印象
kalkan,踵
kalson,裤
kamion,卡车
kandel,蜡
kanzon,歌
kastel,城堡
klient,客
kol/um##,领
kurten,帘
mandat,委托
mister,神秘
moskit,蚊
muskol,肌
ombrel,伞
pacxj,父
parfum,香
patron,赞助人
petrol,石油
posten,岗
pozici,位置
proces,程序
profit,利
proviz,储
pulvor,粉
recept,配方
rekord,记录
rezerv,保
signal,信
sistem,系统
surfac,表
sxofor,司机
tajlor,裁缝
trezor,金库
trikot,针织
vakcin,疫苗
advokat,律师
alkohol,酒
ampleks,范围
brosxur,册
bulvard,大道
deficit,赤字
ekonomi,经济
elefant,象
jxurnal,报
kabinet,内阁
kapital,资
koncert,会
krepusk,黄昏
kvartal,区
miliard,亿
pejzagx,景
problem,问题
profesi,职业
simpati,同情
student,学生
sxrauxb,螺
tempest,风暴
traktor,拖拉机
tri/angul##,三
trotuar,人行道
adjektiv,形容词
dekoraci,装饰
ekvilibr,平衡
esperant,语
hospital,医院
intelekt,智
kalendar,历
kilometr,公里
komision,审查
mehxanik,机械
milimetr,毫米
original,原
pretekst,借口
struktur,结构
telegram,电报
tribunal,法庭
bibliotek,馆
fundament,基
ingxenier,工
konferenc,会
konscienc,良心
literatur,文
mehxanism,机械
rekompenc,奖励
respublik,国
sekretari,秘书
apartament,公寓
auxtomobil,汽车
auxtoritat,权
instrument,器
medikament,药
temperatur,温
cirkonstanc,环境
eksperiment,实验
mal/varm/um##,病
ajl,蒜
akn,痘
aks,轴
akt,剧
ale,荫
alg,藻
apr,猪
azi,亚
bal,舞
bet,植
buk,扣
cep,葱
cir,鞋
dot,资
ehx,响
fab,豆
fac,脸
fag,橡
fig,果
gal,胆
gru,鹤
gum,橡
hal,环
jug,汁
kal,病
kaz,情况
kub,块
lad,板
lak,漆
lap,蔬
lin,麻
lot,彩
luk,窗
mas,块
mat,垫
nuk,颈
pap,教宗
pav,鸟
pig,鸟
pus,脓
ran,蛙
ren,肾
rib,果
rim,诗
rol,角
ros,露
sag,箭
sin,思
ski,滑
sof,沙
tig,茎
tuf,簇
tun,单
vip,鞭
akci,股
atom,原子
aven,麦
bant,饰
bark,船
bask,篮
bend,绳
blok,块
bors,交
bovl,碗
brid,马
brut,畜
bukl,卷
bulb,球茎
bulk,饼
cerv,鹿
cign,鹅
cxel,细胞
dand,帅
diet,食
dorn,针
etap,阶段
etat,账
fecx,沉
felt,毡
frak,西装
fraz,句
fung,菌
garb,雅
gent,民
glav,剑
gobi,鱼
gram,克
greg,群
grip,流感
